File name	Lab Group	Treated/Untreated	Well	Field	Channel		
SectionA_G1_W7_blue.tif	1	Treated	7		DAPI		
SectionA_G1_W7_DIC.tif	1	Treated	7		DIC		
SectionA_G1_W7_green.tif	1	Treated	7		GFP		
SectionA_G1_W8_blue.tif	1	Treated	8		DAPI		
SectionA_G1_W8_blue2.tif	1	Treated	8		DAPI		
SectionA_G1_W8_blue3.tif	1	Treated	8		DAPI		
SectionA_G1_W8_DIC.tif	1	Treated	8		DIC		
SectionA_G1_W8_DIC2.tif	1	Treated	8		DIC		
SectionA_G1_W8_DIC3.tif	1	Treated	8		DIC		
SectionA_G1_W8_green.tif	1	Treated	8		GFP		
SectionA_G1_W8_green2.tif	1	Treated	8		GFP		
SectionA_G1_W8_green3.tif	1	Treated	8		GFP		
G2_WellF1_DAPI_Field1.tif	2	Treated	1		DAPI		
G2_WellF1_DIC_Field1.tif	2	Treated	1		DIC		
G2_WellF1_GFP_Field1.tif	2	Treated	1		GFP		
G2_WellF2_DAPI_Field1.tif	2	Treated	2		DAPI		
G2_WellF2_DIC_Field1.tif	2	Treated	2		DIC		
G2_WellF2_GFP_Field1.tif	2	Treated	2		GFP		
G2_WellF3_DAPI_Field1.tif	2	Treated	3		DAPI		
G2_WellF3_DIC_Field1.tif	2	Treated	3		DIC		
G2_WellF3_GFP_Field1.tif	2	Treated	3		GFP		
G2_WellF4_DAPI_Field1.tif	2	Treated	4		DAPI		
G2_WellF4_DAPI_Field1test.tif	2	Treated	4		DAPI		
G2_WellF4_DIC_Field1.tif	2	Treated	4		DIC		
G2_WellF4_DIC_Field1test.tif	2	Treated	4		DIC		
G2_WellF4_GFP_Field1.tif	2	Treated	4		GFP		
G2_WellF4_GFP_Field1test.tif	2	Treated	4		GFP		
G2_WellF5_DAPI_Field1.tif	2	Untreated	5		DAPI		
G2_WellF5_DIC_Field1.tif	2	Untreated	5		DIC		
G2_WellF5_GFP_Field1.tif	2	Untreated	5		GFP		
G2_WellF6_DAPI_Field1.tif	2	Untreated	6		DAPI
G2_WellF6_DIC_Field1.tif	2	Untreated	6		DIC
G2_WellF6_GFP_Field1.tif	2	Untreated	6		GFP
G2_WellF7_DAPI_Field1.tif	2	Untreated	7		DAPI
G2_WellF7_DIC_Field1.tif	2	Untreated	7		DIC
G2_WellF7_GFP_Field1.tif	2	Untreated	7		GFP		
G2_WellF8_DAPI_Field1.tif	2	Untreated	8		DAPI		
G2_WellF8_DIC_Field1.tif	2	Untreated	8		DIC		
G2_WellF8_GFP_Field1.tif	2	Untreated	8		GFP		
G7_Well1_Col9_Field1_B.tif	7	Untreated	1	1	DAPI		
G7_Well1_Col9_Field1_G.tif	7	Untreated	1	1	GFP		
G7_Well1_Col9_Field1_T.tif	7	Untreated	1	1	DIC		
G7_Well2_Col9_Field1_B.tif	7	Untreated	2	1	DAPI		
G7_Well2_Col9_Field1_G.tif	7	Untreated	2	1	GFP		
G7_Well2_Col9_Field1_T.tif	7	Untreated	2	1	DIC		
G7_Well2_Col9_Field2_B.tif	7	Untreated	2	2	DAPI		
G7_Well2_Col9_Field2_G.tif	7	Untreated	2	2	GFP		
G7_Well2_Col9_Field2_T.tif	7	Untreated	2	2	DIC		
G7_Well4_Col9_Field1_B.tif	7	Untreated	4	1	DAPI		
G7_Well4_Col9_Field1_G.tif	7	Untreated	4	1	GFP		
G7_Well4_Col9_Field1_T.tif	7	Untreated	4	1	DIC		
G7_Well5_Col9_Field1_B.tif	7	Treated	5	1	DAPI		
G7_Well5_Col9_Field1_G.tif	7	Treated	5	1	GFP		
G7_Well5_Col9_Field1_T.tif	7	Treated	5	1	DIC		
G7_Well6_Col9_Field1_B.tif	7	Treated	6	1	DAPI		
G7_Well6_Col9_Field1_G.tif	7	Treated	6	1	GFP		
G7_Well6_Col9_Field1_T.tif	7	Treated	6	1	DIC		
G7_Well8_Col9_Field1_B.tif	7	Treated	8	1	DAPI		
G7_Well8_Col9_Field1_G.tif	7	Treated	8	1	GFP		
G7_Well8_Col9_Field1_T.tif	7	Treated	8	1	DIC		
G7_Well8_Col9_Field2_B.tif	7	Treated	8	2	DAPI		
G7_Well8_Col9_Field2_G.tif	7	Treated	8	2	GFP		
G7_Well8_Col9_Field2_T.tif	7	Treated	8	2	DIC		
SectionB_G8_C1_t_p1.tif	8	Untreated	1	1	DIC		
SectionB_G8_C1_p_p1.tif	8	Untreated	1	1	DAPI		
SectionB_G8_C1_g_p1.tif	8	Untreated	1	1	GFP		
SectionB_G8_C2_t_p1.tif	8	Untreated	2	1	DIC		
SectionB_G8_C2_p_p1.tif	8	Untreated	2	1	DAPI		
SectionB_G8_C2_g_p1.tif	8	Untreated	2	1	GFP		
SectionB_G8_C2_t_p2.tif	8	Untreated	2	2	DIC		
SectionB_G8_C2_p_p2.tif	8	Untreated	2	2	DAPI		
SectionB_G8_C2_g_p2.tif	8	Untreated	2	2	GFP		
SectionB_G8_C3_t_p1.tif	8	Untreated	3	1	DIC		
SectionB_G8_C3_p_p1.tif	8	Untreated	3	1	DAPI		
SectionB_G8_C3_g_p1.tif	8	Untreated	3	1	GFP		
SectionB_G8_C4_t_p1.tif	8	Untreated	4	1	DIC		
SectionB_G8_C4_p_p1.tif	8	Untreated	4	1	DAPI		
SectionB_G8_C4_g_p1.tif	8	Untreated	4	1	GFP		
SectionB_G8_C4_t_p2.tif	8	Untreated	4	2	DIC		
SectionB_G8_C4_p_p2.tif	8	Untreated	4	2	DAPI		
SectionB_G8_C4_g_p2.tif	8	Untreated	4	2	GFP		
SectionB_G8_C5_t_p1.tif	8	Treated	5	1	DIC		
SectionB_G8_C5_p_p1.tif	8	Treated	5	1	DAPI		
SectionB_G8_C5_g_p1.tif	8	Treated	5	1	GFP		
SectionB_G8_C5_t_p2.tif	8	Treated	5	2	DIC		
SectionB_G8_C5_p_p2.tif	8	Treated	5	2	DAPI		
SectionB_G8_C5_g_p2.tif	8	Treated	5	2	GFP		
SectionB_G8_C6_t_p1.tif	8	Treated	6	1	DIC		
SectionB_G8_C6_p_p1.tif	8	Treated	6	1	DAPI		
SectionB_G8_C6_g_p1.tif	8	Treated	6	1	GFP		
SectionB_G8_C7_t_p1.tif	8	Treated	7	1	DIC		
SectionB_G8_C7_p_p1.tif	8	Treated	7	1	DAPI		
SectionB_G8_C7_g_p1.tif	8	Treated	7	1	GFP		
SectionB_G8_C8_t_p1.tif	8	Treated	8	1	DIC		
SectionB_G8_C8_p_p1.tif	8	Treated	8	1	DAPI		
SectionB_G8_C8_g_p1.tif	8	Treated	8	1	GFP		
SectionB_G6_C9_g_p1.tif	6	Treated	3	1	GFP		
SectionB_G6_C9_g_p2.tif	6	Treated	3	2	GFP		
SectionB_G6_C9_p_p1.tif	6	Treated	3	1	DAPI		
SectionB_G6_C9_p_p2.tif	6	Treated	3	2	DAPI		
SectionB_G6_C9_t_p1.tif	6	Treated	3	1	DIC		
SectionB_G6_C9_t_p2.tif	6	Treated	3	2	DIC		
SectionB_G6_D9_g_p1.tif	6	Treated	4	1	GFP		
SectionB_G6_D9_g_p2.tif	6	Treated	4	2	GFP		
SectionB_G6_D9_p_p1.tif	6	Treated	4	1	DAPI		
SectionB_G6_D9_p_p2.tif	6	Treated	4	2	DAPI		
SectionB_G6_D9_t_p1.tif	6	Treated	4	1	DIC		
SectionB_G6_D9_t_p2.tif	6	Treated	4	2	DIC		
SectionB_G6_E9_g_p1.tif	6	Treated	5	1	GFP		
SectionB_G6_E9_g_p2.tif	6	Treated	5	2	GFP		
SectionB_G6_E9_p_p1.tif	6	Treated	5	1	DAPI		
SectionB_G6_E9_p_p2.tif	6	Treated	5	2	DAPI		
SectionB_G6_E9_t_p1.tif	6	Treated	5	1	DIC		
SectionB_G6_E9_t_p1.tif	6	Treated	5	2	DIC		
SectionB_G6_F9_g_p1.tif	6	Untreated	6	1	GFP		
SectionB_G6_F9_g_p2.tif	6	Untreated	6	2	GFP		
SectionB_G6_F9_p_p1.tif	6	Untreated	6	1	DAPI		
SectionB_G6_F9_p_p2.tif	6	Untreated	6	2	DAPI		
SectionB_G6_F9_t_p1.tif	6	Untreated	6	1	DIC		
SectionB_G6_F9_t_p2.tif	6	Untreated	6	2	DIC		
SectionB_G6_G9_g_p1.tif	6	Untreated	7	1	GFP		
SectionB_G6_G9_g_p2.tif	6	Untreated	7	2	GFP		
SectionB_G6_G9_p_p1.tif	6	Untreated	7	1	DAPI		
SectionB_G6_G9_p_p2.tif	6	Untreated	7	2	DAPI		
SectionB_G6_G9_t_p1.tif	6	Untreated	7	1	DIC		
SectionB_G6_G9_t_p2.tif	6	Untreated	7	2	DIC		
SectionB_G6_H9_g_p1.tif	6	Untreated	8	1	GFP		
SectionB_G6_H9_g_p2.tif	6	Untreated	8	2	GFP		
SectionB_G6_H9_p_p1.tif	6	Untreated	8	1	DAPI		
SectionB_G6_H9_p_p2.tif	6	Untreated	8	2	DAPI		
SectionB_G6_H9_t_p1.tif	6	Untreated	8	1	DIC		
SectionB_G6_H9_t_p2.tif	6	Untreated	8	2	DIC		
